source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-2kg-me-arni,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-2kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-large-breed-12kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-low-grain-12kg-me-moschari,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-low-grain-2kg-me-moschari,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-mini-small-breed-2kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-mini-small-breed-5kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-chicken-14kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-chicken-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-fish-14kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-fish-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-lamb-14kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-lamb-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-mini-chicken-14kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-adult-mini-chicken-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-light-and-senior-chicken-14kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-light-and-senior-chicken-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-puppy-chicken-14kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-essential-puppy-chicken-2kg,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-light-and-senior-12kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-light-and-senior-2kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-puppy-12kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
petshop88 retailer,https://www.petshop88.gr/skyloi/xira-trofi-gia-skylous?ff12=192,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-puppy-2kg-me-kotopoylo,,,dog,dry,retailer,retailer_product_page,GR,queued,category_crawl_limit=50
