source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
external_single_product_sources,,https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/grain_free/997870?activeVariant=997870.2,Briantos Adult Grain-Free Duck & Potato,Briantos,dog,dry,retailer,product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=product_page; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true
external_single_product_sources,,https://josera.com/en/product/active-nature,Josera Active Nature,Josera,dog,dry,official,product_page,EU,candidate,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=product_page; human_qa_required_before_recommendation=true; official_structured_product_resource=true
external_single_product_sources,,https://www.petsamolis.gr/skylos/trofes-skylon/xira-trofi-skylou/super-premium-skylon/akvateranaturesprot-supercarespecialneedsd-fsensitiveskinandstomachadultsmallbreeds1-5kg2040828,"Akvatera τροφή με αρνί για μικρόσωμα ενήλικα σκυλιά με εντερικά και δερματικά προβλήματα 1,5kg",Akvatera,dog,dry,retailer,product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=retailer; source_kind=product_page; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=34.9; default_moisture_percent=10
external_single_product_sources,,https://www.royalcanin.com/gr/dogs/products/retail-products/yorkshire-terrier-adult-3051,Royal Canin Yorkshire Terrier Adult,Royal Canin,dog,dry,official,product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=product_page; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Yorkshire Terrier; missing_calcium_phosphorus_on_source=true
