source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/german-shepherd-adult-2518,Royal Canin German Shepherd Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=German Shepherd Dog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/french-bulldog-puppy-3990,Royal Canin French Bulldog Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=French Bulldog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/jack-russell-adult-2100,Royal Canin Jack Russell Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Jack Russell Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/golden-retriever-adult-3970,Royal Canin Golden Retriever Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Golden Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/cocker-puppy-4133,Royal Canin Cocker Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=American Cocker Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/dachshund-adult-3059,Royal Canin Dachshund Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Dachshund; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/jack-russell-terrier-puppy-2101,Royal Canin Jack Russell Terrier Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Jack Russell Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/poodle-adult-3057,Royal Canin Poodle Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Poodle; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/labrador-retriever-puppy-2491,Royal Canin Labrador Retriever Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Labrador Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/golden-retriever-puppy-3979,Royal Canin Golden Retriever Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Golden Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
