formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
royal-canin-shih-tzu-puppy-dog-dry-gr-official,Royal Canin,Shih Tzu Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/shih-tzu-puppy-2439,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Shih Tzu; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-miniature-schnauzer-adult-dog-dry-gr-official,Royal Canin,Miniature Schnauzer Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/miniature-schnauzer-adult-2220,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Miniature Schnauzer; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-german-shepherd-adult-dog-dry-gr-official,Royal Canin,German Shepherd Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/german-shepherd-adult-2518,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=German Shepherd Dog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-french-bulldog-puppy-dog-dry-gr-official,Royal Canin,French Bulldog Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/french-bulldog-puppy-3990,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=French Bulldog; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-jack-russell-adult-dog-dry-gr-official,Royal Canin,Jack Russell Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/jack-russell-adult-2100,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Jack Russell Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-golden-retriever-adult-dog-dry-gr-official,Royal Canin,Golden Retriever Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/golden-retriever-adult-3970,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Golden Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-cocker-puppy-dog-dry-gr-official,Royal Canin,Cocker Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/cocker-puppy-4133,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=American Cocker Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-dachshund-adult-dog-dry-gr-official,Royal Canin,Dachshund Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/dachshund-adult-3059,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Dachshund; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-jack-russell-terrier-puppy-dog-dry-gr-official,Royal Canin,Jack Russell Terrier Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/jack-russell-terrier-puppy-2101,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Jack Russell Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-poodle-adult-dog-dry-gr-official,Royal Canin,Poodle Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/poodle-adult-3057,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Poodle; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
