canonical_identity_key,row_count,candidate_count,hold_count,best_dataset_file,best_formula_key,best_display_name,best_decision,best_score,best_missing_blockers,recommended_action,alternative_formula_keys
royal canin|maxi adult|dog|dry,3,1,2,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-adult-dog-dry-gr-gatoskilo,Royal Canin Maxi Adult 3kg,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-maxi-adult-dog-dry-gr-official|royal-canin-maxi-adult-dog-dry-gr-photo
royal canin|medium adult|dog|dry,3,1,2,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-adult-dog-dry-gr-gatoskilo,Royal Canin Medium Adult 3kg,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-medium-adult-dog-dry-gr-official|royal-canin-medium-adult-dog-dry-gr-photo
royal canin|yorkshire junior|dog|dry,3,1,2,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-yorkshire-junior-dog-dry-gr-gatoskilo,Royal Canin Yorkshire Junior 1.5kg,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-royal-canin-yorkshire-junior-dog-dry-gr-spreadsheet|royal-canin-royal-canin-yorkshire-junior-dog-dry-gr-spreadsheet
schesir|adult medium pork ham|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-adult-medium-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir Adult Medium με Χοιρινό Προσούτο,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-adult-medium-με-χοιρινο-προσουτο-dog-dry-gr-ods|schesir-schesir-adult-medium-pork-ham-dog-dry-gr-spreadsheet
schesir|adult medium fish|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-adult-medium-με-ψαρι-dog-dry-gr-ods,Schesir Adult Medium με Ψάρι,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-adult-medium-με-ψαρι-dog-dry-gr-ods|schesir-schesir-adult-medium-fish-dog-dry-gr-spreadsheet
schesir|adult small pork ham|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-adult-small-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir Adult Small με Χοιρινό Προσούτο,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-adult-small-με-χοιρινο-προσουτο-dog-dry-gr-ods|schesir-schesir-adult-small-pork-ham-dog-dry-gr-spreadsheet
schesir|adult small fish and rice|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-adult-small-με-ψαρι-ρυζι-dog-dry-gr-ods,Schesir Adult Small με Ψάρι & Ρύζι,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-adult-small-με-ψαρι-ρυζι-dog-dry-gr-ods|schesir-schesir-adult-small-fish-rice-dog-dry-gr-spreadsheet
schesir|mature medium chicken|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-mature-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir Mature Medium με Κοτόπουλο,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-mature-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-mature-medium-chicken-dog-dry-gr-spreadsheet
schesir|puppy large chicken|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-puppy-large-με-κοτοπουλο-dog-dry-gr-ods,Schesir Puppy Large με Κοτόπουλο,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-puppy-large-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-puppy-large-chicken-dog-dry-gr-spreadsheet
schesir|puppy medium chicken|dog|dry,3,1,2,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-puppy-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir Puppy Medium με Κοτόπουλο,candidate,80.0,,Use best row for preview; keep alternatives as evidence/backfill references.,schesir-schesir-puppy-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-puppy-medium-chicken-dog-dry-gr-spreadsheet
royal canin|medium starter|dog|dry,3,1,2,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-medium-starter-dog-dry-gr-gatoskilo,Royal Canin Medium Starter 4kg,candidate,76.0,,Use best row for preview; keep alternatives as evidence/backfill references.,royal-canin-royal-canin-medium-starter-dog-dry-gr-spreadsheet|royal-canin-royal-canin-medium-starter-dog-dry-gr-spreadsheet
schesir|kitten φιλετακια σε ζελε chicken and αλοη|cat|wet,3,0,3,data/imports/retailer_source_backfill_v2.csv,schesir-schesir-kitten-φιλετακια-σε-ζελε-με-κοτοπουλο-αλοη-cat-wet-gr-ods,Schesir Kitten Φιλετάκια σε Ζελέ με Κοτόπουλο & Αλόη,hold,52.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,schesir-schesir-kitten-φιλετακια-σε-ζελε-με-κοτοπουλο-αλοη-cat-wet-gr-ods|schesir-schesir-kitten-jelly-chicken-aloe-cat-wet-gr-spreadsheet
acana|adult classic red|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-classic-red-dog-dry-gr-spreadsheet,Acana Adult Classic Red,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-classic-red-dog-dry-gr-spreadsheet|acana-acana-adult-classic-red-dog-dry-gr-spreadsheet
acana|adult grasslands|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-grasslands-dog-dry-gr-spreadsheet,ACANA Adult Grasslands,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-grasslands-dog-dry-gr-spreadsheet|acana-acana-adult-grasslands-dog-dry-gr-spreadsheet
acana|adult large breed|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-large-breed-dog-dry-gr-spreadsheet,Acana Adult Large breed,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-large-breed-dog-dry-gr-spreadsheet|acana-acana-adult-large-breed-dog-dry-gr-spreadsheet
acana|adult light and fit|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-light-fit-dog-dry-gr-spreadsheet,ACANA Adult Light & Fit,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-light-fit-dog-dry-gr-spreadsheet|acana-acana-adult-light-fit-dog-dry-gr-spreadsheet
acana|adult pacifica|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-pacifica-dog-dry-gr-spreadsheet,Acana Adult Pacifica,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-pacifica-dog-dry-gr-spreadsheet|acana-acana-adult-pacifica-dog-dry-gr-spreadsheet
acana|adult prairie poultry|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-prairie-poultry-dog-dry-gr-spreadsheet,ACANA Adult Prairie Poultry,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-prairie-poultry-dog-dry-gr-spreadsheet|acana-acana-adult-prairie-poultry-dog-dry-gr-spreadsheet
acana|adult small breed|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-small-breed-dog-dry-gr-spreadsheet,Acana Adult Small breed,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-small-breed-dog-dry-gr-spreadsheet|acana-acana-adult-small-breed-dog-dry-gr-spreadsheet
acana|adult wild coast|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-wild-coast-dog-dry-gr-spreadsheet,Acana Adult Wild Coast,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-wild-coast-dog-dry-gr-spreadsheet|acana-acana-adult-wild-coast-dog-dry-gr-spreadsheet
acana|adult wild prairie|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-adult-wild-prairie-dog-dry-gr-spreadsheet,ACANA Adult Wild Prairie,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-adult-wild-prairie-dog-dry-gr-spreadsheet|acana-acana-adult-wild-prairie-dog-dry-gr-spreadsheet
acana|puppy and junior|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-puppy-junior-dog-dry-gr-spreadsheet,ACANA Puppy & Junior,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-puppy-junior-dog-dry-gr-spreadsheet|acana-acana-puppy-junior-dog-dry-gr-spreadsheet
acana|puppy large breed|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-puppy-large-breed-dog-dry-gr-spreadsheet,Acana Puppy Large breed,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-puppy-large-breed-dog-dry-gr-spreadsheet|acana-acana-puppy-large-breed-dog-dry-gr-spreadsheet
acana|puppy small breed|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-puppy-small-breed-dog-dry-gr-spreadsheet,ACANA Puppy Small breed,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-puppy-small-breed-dog-dry-gr-spreadsheet|acana-acana-puppy-small-breed-dog-dry-gr-spreadsheet
acana|senior dog|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,acana-acana-senior-dog-dog-dry-gr-spreadsheet,Acana Senior Dog,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,acana-acana-senior-dog-dog-dry-gr-spreadsheet|acana-acana-senior-dog-dog-dry-gr-spreadsheet
orijen|adult original dog|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-adult-original-dog-dog-dry-gr-spreadsheet,Orijen Adult Original Dog,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,orijen-orijen-adult-original-dog-dog-dry-gr-spreadsheet|orijen-orijen-adult-original-dog-dog-dry-gr-spreadsheet
orijen|adult regional red|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-adult-regional-red-dog-dry-gr-spreadsheet,Orijen Adult Regional Red,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,orijen-orijen-adult-regional-red-dog-dry-gr-spreadsheet|orijen-orijen-adult-regional-red-dog-dry-gr-spreadsheet
orijen|puppy large|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-puppy-large-dog-dry-gr-spreadsheet,Orijen Puppy Large,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,orijen-orijen-puppy-large-dog-dry-gr-spreadsheet|orijen-orijen-puppy-large-dog-dry-gr-spreadsheet
orijen|senior dog|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-senior-dog-dog-dry-gr-spreadsheet,Orijen Senior Dog,hold,48.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,orijen-orijen-senior-dog-dog-dry-gr-spreadsheet|orijen-orijen-senior-dog-dog-dry-gr-spreadsheet
orijen|adult 6 fish|dog|dry,3,0,3,data/imports/retailer_source_backfill_v2.csv,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen Adult 6 Fish,hold,45.0,kcal_per_100g_or_kcal_per_kg,Keep in review until blockers are resolved.,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet|orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet
