intake_id,received_at,brand,formula_name_guess,species,market,locale,source_type,source_priority,evidence_kind,evidence_path_or_url,storage_bucket,storage_path,has_front_pack,has_barcode,has_ingredients,has_analysis,has_calories,has_feeding_guide,has_pack_weight,extraction_status,assigned_to,linked_formula_key,review_priority,notes
photos-royal-adult-hairball-care-cat,2026-05-30,Royal Canin,royal adult hairball care cat,cat,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal adult hairball care cat,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-adult-savour-exigent-cat,2026-05-30,Royal Canin,royal adult savour exigent cat,cat,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal adult savour exigent cat,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-adult-urinary-care-cat,2026-05-30,Royal Canin,royal adult urinary care cat,cat,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal adult urinary care cat,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-bulldog-puppy,2026-05-30,Royal Canin,royal bulldog puppy,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal bulldog puppy,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-cavalier-king-charles-puppy,2026-05-30,Royal Canin,royal cavalier king charles puppy,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal cavalier king charles puppy,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-chihuahua-adult,2026-05-30,Royal Canin,royal chihuahua adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal chihuahua adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-chihuahua-puppy,2026-05-30,Royal Canin,royal chihuahua puppy,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal chihuahua puppy,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-french-bulldog-adult,2026-05-30,Royal Canin,royal french bulldog adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal french bulldog adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-french-bulldog-puppy,2026-05-30,Royal Canin,royal french bulldog puppy,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal french bulldog puppy,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-giant-adult,2026-05-30,Royal Canin,royal giant adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal giant adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-maxi-adult,2026-05-30,Royal Canin,royal maxi adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal maxi adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
