canonical_key,row_count,recommended_action,keep_formula_key,formula_key,display_name,formula_name,species,format,source_priority,data_quality_status,updated_at
schesir|kitten-chicken|cat|dry,2,keep_canonical_row,schesir|kitten-chicken|cat|dry,schesir|kitten-chicken|cat|dry,Schesir Kitten Chicken,Kitten Chicken,cat,dry,official,needs_review,2026-06-04T18:34:15.157096+00:00
schesir|kitten-chicken|cat|dry,2,review_as_duplicate_before_merge_or_delete,schesir|kitten-chicken|cat|dry,schesir-dry-kitten-cat-dry-gr-document,Schesir Dry Kitten με κοτόπουλο,Dry Kitten με κοτόπουλο,cat,dry,official,needs_review,2026-05-31T17:20:09.424901+00:00
schesir|sterilized-light-chicken|cat|dry,2,keep_canonical_row,schesir|sterilized-light-chicken|cat|dry,schesir|sterilized-light-chicken|cat|dry,Schesir Sterilized Light Chicken,Sterilized Light Chicken,cat,dry,official,needs_review,2026-06-04T18:34:14.5691+00:00
schesir|sterilized-light-chicken|cat|dry,2,review_as_duplicate_before_merge_or_delete,schesir|sterilized-light-chicken|cat|dry,schesir-cat-sterilized-light-cat-dry-gr-document,Schesir Cat Sterilized & Light με κοτόπουλο,Cat Sterilized & Light με κοτόπουλο,cat,dry,official,needs_review,2026-05-31T17:20:08.573768+00:00
schesir|adult-medium-chicken|dog|dry,2,keep_canonical_row,schesir|adult-medium-chicken|dog|dry,schesir|adult-medium-chicken|dog|dry,Schesir Adult Medium Chicken,Adult Medium Chicken,dog,dry,retailer,needs_review,2026-06-04T18:34:13.05317+00:00
schesir|adult-medium-chicken|dog|dry,2,review_as_duplicate_before_merge_or_delete,schesir|adult-medium-chicken|dog|dry,schesir-dry-medium-maintenance-chicken-dog-dry-gr-document,Schesir Dry Medium Maintenance Chicken,Dry Medium Maintenance Chicken,dog,dry,retailer,needs_review,2026-05-31T17:20:10.019409+00:00
