source_sheet,source_code,source_description,formula_name,brand,species,format,life_stage,size_class,category_tags,quantity,value,revenue_share_percent,pareto_percent,formula_key_guess,has_eshop_title,has_eshop_detail,review_priority,recommended_action,source_document
Sheet1,017109,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL GASTRO INTESTINAL PUPPY DOG 1kg,ROYAL GASTRO INTESTINAL PUPPY DOG,Royal Canin,dog,dry,puppy,,,79,894.51,0.01,0.5165,royal-canin-royal-gastro-intestinal-puppy-dog-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050117,ΞΗΡΑ ΤΡΟΦΗ.Γ Chat & Chat Expert Adult Chicken,Chat & Chat Expert Adult Chicken,Chat,cat,dry,adult,,,414.65,663.85,0.0042,0.5347,chat-chat-chat-expert-adult-chicken-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,000550,ΣΑΛΑΜΙ CELEBRATE FRESHNESS ADULT CAT CHICKEN & FISH 200gr,CELEBRATE FRESHNESS ADULT CAT CHICKEN & FISH,Celebrate,cat,wet,adult,,,210,163.9,0.0026,0.5425,celebrate-celebrate-freshness-adult-cat-chicken-fish-cat-wet-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,020049,ΞΗΡΑ.ΣΚ Unica Classe Alleva Puppy Chicken 15kg,Unica Classe Alleva Puppy Chicken,Unica Classe,dog,dry,puppy,,,27,808.99,0.003,0.5622,unica-classe-unica-classe-alleva-puppy-chicken-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,016158,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ TONUS SENIOR ADULT Κοτοπουλο 14kg,Tonus SENIOR Dog με Κοτόπουλο,Purina,dog,dry,senior,medium,PREMIUM;MAINTENANCE,28,742.66,0.0028,0.5767,purina-tonus-senior-dog-με-κοτοπουλο-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017063,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL VHN GASTRO INTESTINAL DOG 2kg,ROYAL VHN GASTRO INTESTINAL DOG,Royal Canin,dog,dry,,,,39,705.73,0.0079,0.5789,royal-canin-royal-vhn-gastro-intestinal-dog-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018532,ΣΑΛΑΜΑΚΙ ΓΑΤΑΣ DOCA 80gr,ΣΑΛΑΜΑΚΙ ΓΑΤΑΣ DOCA,σαλαμακι,cat,wet,,,,322,143.75,0.0023,0.5871,σαλαμακι-σαλαμακι-γατας-doca-cat-wet-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017099,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL VDIET SATIETY SMALL DOG 1.5kg,ROYAL VDIET SATIETY SMALL DOG,Royal Canin,dog,dry,,,,28,533.52,0.006,0.6194,royal-canin-royal-vdiet-satiety-small-dog-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017282,ΞΗΡΑ ΤΡΟΦΗ.Γ ROYAL VHN GASTRO INTESTINAL CAT 2kg,ROYAL VHN GASTRO INTESTINAL CAT,Royal Canin,cat,dry,,,,22,490.37,0.0055,0.6417,royal-canin-royal-vhn-gastro-intestinal-cat-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017091,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL SATIETY SUPPORT DOG 12kg,ROYAL SATIETY SUPPORT DOG,Royal Canin,dog,dry,,,,7,482.43,0.0054,0.6525,royal-canin-royal-satiety-support-dog-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
