canonical_identity_key,row_count,candidate_count,hold_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,kcal_range,protein_range,fat_range,fiber_range,ash_range,formula_keys
royal canin|chihuahua puppy|dog|dry,3,2,1,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-chihuahua-puppy-dog-dry-gr-official,Royal Canin Chihuahua Puppy,official|retailer|manual_photo,,,,,,royal-canin-chihuahua-puppy-dog-dry-gr-official|royal-canin-chihuahua-puppy-dog-dry-gr-gatoskilo|royal-canin-chihuahua-puppy-dog-dry-gr-photo
royal canin|french bulldog adult|dog|dry,3,2,1,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin French Bulldog Adult,official|retailer|manual_photo,,,,,,royal-canin-french-bulldog-adult-dog-dry-gr-official|royal-canin-french-bulldog-adult-dog-dry-gr-gatoskilo|royal-canin-french-bulldog-adult-dog-dry-gr-photo
royal canin|giant adult|dog|dry,3,1,2,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-giant-adult-dog-dry-gr-gatoskilo,Royal Canin Giant Adult 4kg,retailer|official|manual_photo,,,,,,royal-canin-giant-adult-dog-dry-gr-gatoskilo|royal-canin-giant-adult-dog-dry-gr-official|royal-canin-giant-adult-dog-dry-gr-photo
royal canin|junior giant|dog|dry,3,1,2,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-junior-giant-dog-dry-gr-official,Royal Canin JUNIOR - GIANT,official|unknown,,,,,,royal-canin-junior-giant-dog-dry-gr-official|royal-canin-royal-canin-junior-giant-dog-dry-gr-spreadsheet
royal canin|maxi adult|dog|dry,3,1,2,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-maxi-adult-dog-dry-gr-gatoskilo,Royal Canin Maxi Adult 3kg,retailer|official|manual_photo,,,,,,royal-canin-maxi-adult-dog-dry-gr-gatoskilo|royal-canin-maxi-adult-dog-dry-gr-official|royal-canin-maxi-adult-dog-dry-gr-photo
royal canin|medium adult|dog|dry,3,1,2,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-medium-adult-dog-dry-gr-gatoskilo,Royal Canin Medium Adult 3kg,retailer|official|manual_photo,,,,,,royal-canin-medium-adult-dog-dry-gr-gatoskilo|royal-canin-medium-adult-dog-dry-gr-official|royal-canin-medium-adult-dog-dry-gr-photo
royal canin|medium starter|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-medium-starter-dog-dry-gr-gatoskilo,Royal Canin Medium Starter 4kg,retailer|unknown,,,,,,royal-canin-medium-starter-dog-dry-gr-gatoskilo|royal-canin-royal-canin-medium-starter-dog-dry-gr-spreadsheet
royal canin|shih tzu adult|dog|dry,3,2,1,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-shih-tzu-adult-dog-dry-gr-official,Royal Canin Shih Tzu Adult,official|retailer|manual_photo,,,,,,royal-canin-shih-tzu-adult-dog-dry-gr-official|royal-canin-shih-tzu-adult-dog-dry-gr-gatoskilo|royal-canin-shih-tzu-adult-dog-dry-gr-photo
royal canin|west highland white terrier adult|dog|dry,3,2,1,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-official,Royal Canin West Highland White Terrier Adult,official|retailer|manual_photo,,,,,,royal-canin-west-highland-white-terrier-adult-dog-dry-gr-official|royal-canin-west-highland-white-terrier-adult-dog-dry-gr-gatoskilo|royal-canin-west-highland-white-terrier-adult-dog-dry-gr-photo
royal canin|yorkshire junior|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-yorkshire-junior-dog-dry-gr-gatoskilo,Royal Canin Yorkshire Junior 1.5kg,retailer|unknown,,,,,,royal-canin-yorkshire-junior-dog-dry-gr-gatoskilo|royal-canin-royal-canin-yorkshire-junior-dog-dry-gr-spreadsheet
schesir|adult medium pork ham|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-adult-medium-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir Adult Medium με Χοιρινό Προσούτο,retailer|unknown,,,,,,schesir-schesir-adult-medium-με-χοιρινο-προσουτο-dog-dry-gr-ods|schesir-schesir-adult-medium-pork-ham-dog-dry-gr-spreadsheet
schesir|adult medium fish|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-adult-medium-με-ψαρι-dog-dry-gr-ods,Schesir Adult Medium με Ψάρι,retailer|unknown,,,,,,schesir-schesir-adult-medium-με-ψαρι-dog-dry-gr-ods|schesir-schesir-adult-medium-fish-dog-dry-gr-spreadsheet
schesir|adult small pork ham|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-adult-small-με-χοιρινο-προσουτο-dog-dry-gr-ods,Schesir Adult Small με Χοιρινό Προσούτο,retailer|unknown,,,,,,schesir-schesir-adult-small-με-χοιρινο-προσουτο-dog-dry-gr-ods|schesir-schesir-adult-small-pork-ham-dog-dry-gr-spreadsheet
schesir|adult small fish and rice|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-adult-small-με-ψαρι-ρυζι-dog-dry-gr-ods,Schesir Adult Small με Ψάρι & Ρύζι,retailer|unknown,,,,,,schesir-schesir-adult-small-με-ψαρι-ρυζι-dog-dry-gr-ods|schesir-schesir-adult-small-fish-rice-dog-dry-gr-spreadsheet
schesir|mature medium chicken|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-mature-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir Mature Medium με Κοτόπουλο,retailer|unknown,,,,,,schesir-schesir-mature-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-mature-medium-chicken-dog-dry-gr-spreadsheet
schesir|puppy large chicken|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-puppy-large-με-κοτοπουλο-dog-dry-gr-ods,Schesir Puppy Large με Κοτόπουλο,retailer|unknown,,,,,,schesir-schesir-puppy-large-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-puppy-large-chicken-dog-dry-gr-spreadsheet
schesir|puppy medium chicken|dog|dry,3,1,2,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,schesir-schesir-puppy-medium-με-κοτοπουλο-dog-dry-gr-ods,Schesir Puppy Medium με Κοτόπουλο,retailer|unknown,,,,,,schesir-schesir-puppy-medium-με-κοτοπουλο-dog-dry-gr-ods|schesir-schesir-puppy-medium-chicken-dog-dry-gr-spreadsheet
acana|wild coast|dog|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,acana-wild-coast-dog-dry-gr-gatoskilo,Acana Wild Coast 9.7kg,retailer,,,,,,acana-wild-coast-dog-dry-gr-gatoskilo|acana-wild-coast-dog-dry-gr-retailer
barking heads|fat dog slim chicken|dog|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,barking-heads-fat-dog-slim-chicken-dog-dry-gr-gatoskilo,Barking Heads Fat Dog Slim Chicken 12kg,retailer|unknown,320.5,24,9.5,4,8,barking-heads-fat-dog-slim-chicken-dog-dry-gr-gatoskilo|barking-heads-barking-heads-fat-dog-slim-chicken-dog-dry-gr-document
belcando|adult light|dog|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,belcando-adult-light-dog-dry-gr-gatoskilo,Belcando Adult Light 1kg,retailer|unknown,319.8,19.8,9,5,6.5,belcando-adult-light-dog-dry-gr-gatoskilo|belcando-belcando-adult-light-dog-dry-gr-document
belcando|finest croc|dog|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,belcando-finest-croc-dog-dry-gr-gatoskilo,Belcando Finest Croc 12.5kg,retailer|unknown,377.6,29,20,3.2,7.5,belcando-finest-croc-dog-dry-gr-gatoskilo|belcando-belcando-finest-croc-dog-dry-gr-document
belcando|senior sensitive|dog|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,belcando-senior-sensitive-dog-dry-gr-gatoskilo,Belcando Senior Sensitive 4kg,retailer|unknown,331.8,19.5,10,4.5,5,belcando-senior-sensitive-dog-dry-gr-gatoskilo|belcando-belcando-senior-sensitive-dog-dry-gr-document
josera|mini junior duck and salmon|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,josera-mini-junior-duck-salmon-dog-dry-eu-official,Josera MINI JUNIOR DUCK & SALMON,official|retailer,,,,,,josera-mini-junior-duck-salmon-dog-dry-eu-official|josera-mini-junior-duck-and-salmon-dog-dry-gr-gatoskilo
reflex|plus kitten chicken|cat|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,reflex-plus-kitten-chicken-cat-dry-gr-gatoskilo,Reflex Plus Kitten Chicken 1.5kg,retailer|unknown,370,36,18,2,8,reflex-plus-kitten-chicken-cat-dry-gr-gatoskilo|reflex-reflex-plus-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet
royal canin|beagle adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-beagle-adult-dog-dry-gr-official,Royal Canin Beagle Adult,official|retailer,,,,,,royal-canin-beagle-adult-dog-dry-gr-official|royal-canin-beagle-adult-dog-dry-gr-gatoskilo
royal canin|boxer adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-boxer-adult-dog-dry-gr-official,Royal Canin Boxer Adult,official|retailer,,,,,,royal-canin-boxer-adult-dog-dry-gr-official|royal-canin-boxer-adult-dog-dry-gr-gatoskilo
royal canin|bulldog adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-bulldog-adult-dog-dry-gr-official,Royal Canin Bulldog Adult,official|retailer,,,,,,royal-canin-bulldog-adult-dog-dry-gr-official|royal-canin-bulldog-adult-dog-dry-gr-gatoskilo
royal canin|cavalier king charles adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-cavalier-king-charles-adult-dog-dry-gr-official,Royal Canin Cavalier King Charles Adult,official|retailer,,,,,,royal-canin-cavalier-king-charles-adult-dog-dry-gr-official|royal-canin-cavalier-king-charles-adult-dog-dry-gr-gatoskilo
royal canin|cavalier king charles puppy|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-official,Royal Canin Cavalier King Charles Puppy,official|manual_photo,,,,,,royal-canin-cavalier-king-charles-puppy-dog-dry-gr-official|royal-canin-cavalier-king-charles-puppy-dog-dry-gr-photo
royal canin|cocker adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-cocker-adult-dog-dry-gr-official,Royal Canin Cocker Adult,official|retailer,,,,,,royal-canin-cocker-adult-dog-dry-gr-official|royal-canin-cocker-adult-dog-dry-gr-gatoskilo
royal canin|dachshund adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-dachshund-adult-dog-dry-gr-official,Royal Canin Dachshund Adult,official|retailer,,,,,,royal-canin-dachshund-adult-dog-dry-gr-official|royal-canin-dachshund-adult-dog-dry-gr-gatoskilo
royal canin|dalmatian adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-dalmatian-adult-dog-dry-gr-official,Royal Canin Dalmatian Adult,official|retailer,,,,,,royal-canin-dalmatian-adult-dog-dry-gr-official|royal-canin-dalmatian-adult-dog-dry-gr-gatoskilo
royal canin|digestive care|cat|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-digestive-care-cat-dry-gr-gatoskilo,Royal Canin Digestive Care 400gr,retailer|manual_photo,,,,,,royal-canin-digestive-care-cat-dry-gr-gatoskilo|royal-canin-digestive-care-cat-dry-gr-photo
royal canin|french bulldog puppy|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-french-bulldog-puppy-dog-dry-gr-official,Royal Canin French Bulldog Puppy,official|manual_photo,,,,,,royal-canin-french-bulldog-puppy-dog-dry-gr-official|royal-canin-french-bulldog-puppy-dog-dry-gr-photo
royal canin|german shepherd adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-german-shepherd-adult-dog-dry-gr-gatoskilo,Royal Canin German Shepherd Adult 11kg,retailer|official,,,,,,royal-canin-german-shepherd-adult-dog-dry-gr-gatoskilo|royal-canin-german-shepherd-adult-dog-dry-gr-official
royal canin|golden retriever adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-golden-retriever-adult-dog-dry-gr-official,Royal Canin Golden Retriever Adult,official|retailer,,,,,,royal-canin-golden-retriever-adult-dog-dry-gr-official|royal-canin-golden-retriever-adult-dog-dry-gr-gatoskilo
royal canin|hair and skin care|cat|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-hair-and-skin-care-cat-dry-gr-gatoskilo,Royal Canin Hair & Skin Care 400g,retailer|manual_photo,,,,,,royal-canin-hair-and-skin-care-cat-dry-gr-gatoskilo|royal-canin-hair-skin-care-cat-dry-gr-photo
royal canin|hairball care|cat|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-hairball-care-cat-dry-gr-gatoskilo,Royal Canin Hairball Care 400g,retailer|manual_photo,,,,,,royal-canin-hairball-care-cat-dry-gr-gatoskilo|royal-canin-hairball-care-cat-dry-gr-photo
royal canin|maltese adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-maltese-adult-dog-dry-gr-official,Royal Canin Maltese Adult,official|retailer,,,,,,royal-canin-maltese-adult-dog-dry-gr-official|royal-canin-maltese-adult-dog-dry-gr-gatoskilo
