canonical_identity_key,row_count,candidate_count,hold_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,kcal_range,protein_range,fat_range,fiber_range,ash_range,formula_keys
royal canin|mini adult 8 plus|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-mini-adult-8-dog-dry-gr-gatoskilo,Royal Canin Mini Adult 8+ 2kg,retailer|official,,,,,,royal-canin-mini-adult-8-dog-dry-gr-gatoskilo|royal-canin-mini-adult-8-dog-dry-gr-official
royal canin|mini adult sterilised|dog|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-mini-adult-sterilised-dog-dry-gr-gatoskilo,Royal Canin Mini Adult Sterilised 1kg,retailer|manual_photo,278.7,30,0.59,6.5,5.2,royal-canin-mini-adult-sterilised-dog-dry-gr-gatoskilo|royal-canin-mini-adult-sterilised-dog-dry-gr-photo
royal canin|mini ageing 12 plus|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-ageing-12-dog-dry-gr-official,Royal Canin MINI AGEING 12+,official|retailer,,,,,,royal-canin-mini-ageing-12-dog-dry-gr-official|royal-canin-mini-ageing-12-dog-dry-gr-gatoskilo
royal canin|mini dental care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-dental-care-dog-dry-gr-official,Royal Canin Mini Dental Care,official|retailer,,,,,,royal-canin-mini-dental-care-dog-dry-gr-official|royal-canin-mini-dental-care-dog-dry-gr-gatoskilo
royal canin|mini dermacomfort|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-dermacomfort-dog-dry-gr-official,Royal Canin Mini Dermacomfort,official|retailer,,,,,,royal-canin-mini-dermacomfort-dog-dry-gr-official|royal-canin-mini-dermacomfort-dog-dry-gr-gatoskilo
royal canin|mini digestive care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-digestive-care-dog-dry-gr-official,Royal Canin Mini Digestive Care,official|retailer,,,,,,royal-canin-mini-digestive-care-dog-dry-gr-official|royal-canin-mini-digestive-care-dog-dry-gr-gatoskilo
royal canin|mini exigent|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-exigent-dog-dry-gr-gatoskilo,Royal Canin Mini Exigent 1kg,retailer|official,,,,,,royal-canin-mini-exigent-dog-dry-gr-gatoskilo|royal-canin-mini-exigent-dog-dry-gr-official
royal canin|mini light weight care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-light-weight-care-dog-dry-gr-official,Royal Canin Mini Light Weight Care,official|retailer,,,,,,royal-canin-mini-light-weight-care-dog-dry-gr-official|royal-canin-mini-light-weight-care-dog-dry-gr-gatoskilo
royal canin|mini urinary care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-mini-urinary-care-dog-dry-gr-official,Royal Canin Mini Urinary Care,official|retailer,,,,,,royal-canin-mini-urinary-care-dog-dry-gr-official|royal-canin-mini-urinary-care-dog-dry-gr-gatoskilo
royal canin|miniature schnauzer adult|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-miniature-schnauzer-adult-dog-dry-gr-official,Royal Canin Miniature Schnauzer Adult,official|manual_photo,,,,,,royal-canin-miniature-schnauzer-adult-dog-dry-gr-official|royal-canin-miniature-schnauzer-adult-dog-dry-gr-photo
royal canin|pomeranian adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-pomeranian-adult-dog-dry-gr-official,Royal Canin Pomeranian Adult,official|retailer,,,,,,royal-canin-pomeranian-adult-dog-dry-gr-official|royal-canin-pomeranian-adult-dog-dry-gr-gatoskilo
royal canin|poodle adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-poodle-adult-dog-dry-gr-official,Royal Canin Poodle Adult,official|retailer,,,,,,royal-canin-poodle-adult-dog-dry-gr-official|royal-canin-poodle-adult-dog-dry-gr-gatoskilo
royal canin|pug adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-pug-adult-dog-dry-gr-official,Royal Canin Pug Adult,official|retailer,,,,,,royal-canin-pug-adult-dog-dry-gr-official|royal-canin-pug-adult-dog-dry-gr-gatoskilo
royal canin|rottweiler adult|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-rottweiler-adult-dog-dry-gr-official,Royal Canin Rottweiler Adult,official|retailer,,,,,,royal-canin-rottweiler-adult-dog-dry-gr-official|royal-canin-rottweiler-adult-dog-dry-gr-gatoskilo
royal canin|urinary care|cat|dry,2,1,1,low,same_formula_evidence_or_pack_variant,Safe to use best row as survivor if title and pack-size differences look expected.,royal-canin-urinary-care-cat-dry-gr-gatoskilo,Royal Canin Urinary Care 400g,retailer|manual_photo,,,,,,royal-canin-urinary-care-cat-dry-gr-gatoskilo|royal-canin-urinary-care-cat-dry-gr-photo
royal canin|x small adult|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-x-small-adult-dog-dry-gr-official,Royal Canin X-SMALL ADULT,official|manual_photo,,,,,,royal-canin-x-small-adult-dog-dry-gr-official|royal-canin-x-small-adult-dog-dry-gr-photo
royal canin|yorkshire terrier puppy|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-official,Royal Canin Yorkshire Terrier Puppy,official|manual_photo,,,,,,royal-canin-yorkshire-terrier-puppy-dog-dry-gr-official|royal-canin-yorkshire-terrier-puppy-dog-dry-gr-photo
hill s|sp puppy small and mini chicken|dog|dry,4,0,4,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-puppy-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Puppy Small & Mini με Κοτόπουλο,retailer|unknown,,,,,,hill-s-hill-s-sp-puppy-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-puppy-small-mini-chicken-dog-dry-gr-spreadsheet
acana|adult classic red|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-classic-red-dog-dry-gr-spreadsheet,Acana Adult Classic Red,retailer|unknown,,,,,,acana-acana-adult-classic-red-dog-dry-gr-spreadsheet
acana|adult grasslands|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-grasslands-dog-dry-gr-spreadsheet,ACANA Adult Grasslands,retailer|unknown,,,,,,acana-acana-adult-grasslands-dog-dry-gr-spreadsheet
acana|adult large breed|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-large-breed-dog-dry-gr-spreadsheet,Acana Adult Large breed,retailer|unknown,,,,,,acana-acana-adult-large-breed-dog-dry-gr-spreadsheet
acana|adult light and fit|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-light-fit-dog-dry-gr-spreadsheet,ACANA Adult Light & Fit,retailer|unknown,,,,,,acana-acana-adult-light-fit-dog-dry-gr-spreadsheet
acana|adult pacifica|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-pacifica-dog-dry-gr-spreadsheet,Acana Adult Pacifica,retailer|unknown,,,,,,acana-acana-adult-pacifica-dog-dry-gr-spreadsheet
acana|adult prairie poultry|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-prairie-poultry-dog-dry-gr-spreadsheet,ACANA Adult Prairie Poultry,retailer|unknown,,,,,,acana-acana-adult-prairie-poultry-dog-dry-gr-spreadsheet
acana|adult small breed|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-small-breed-dog-dry-gr-spreadsheet,Acana Adult Small breed,retailer|unknown,,,,,,acana-acana-adult-small-breed-dog-dry-gr-spreadsheet
acana|adult wild coast|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-wild-coast-dog-dry-gr-spreadsheet,Acana Adult Wild Coast,retailer|unknown,,,,,,acana-acana-adult-wild-coast-dog-dry-gr-spreadsheet
acana|adult wild prairie|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-wild-prairie-dog-dry-gr-spreadsheet,ACANA Adult Wild Prairie,retailer|unknown,,,,,,acana-acana-adult-wild-prairie-dog-dry-gr-spreadsheet
acana|puppy and junior|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-puppy-junior-dog-dry-gr-spreadsheet,ACANA Puppy & Junior,retailer|unknown,,,,,,acana-acana-puppy-junior-dog-dry-gr-spreadsheet
acana|puppy large breed|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-puppy-large-breed-dog-dry-gr-spreadsheet,Acana Puppy Large breed,retailer|unknown,,,,,,acana-acana-puppy-large-breed-dog-dry-gr-spreadsheet
acana|puppy small breed|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-puppy-small-breed-dog-dry-gr-spreadsheet,ACANA Puppy Small breed,retailer|unknown,,,,,,acana-acana-puppy-small-breed-dog-dry-gr-spreadsheet
acana|senior dog|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-senior-dog-dog-dry-gr-spreadsheet,Acana Senior Dog,retailer|unknown,,,,,,acana-acana-senior-dog-dog-dry-gr-spreadsheet
orijen|adult 6 fish|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet,Orijen Adult 6 Fish,retailer|unknown,,,,,,orijen-orijen-adult-6-fish-dog-dry-gr-spreadsheet
orijen|adult original dog|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,orijen-orijen-adult-original-dog-dog-dry-gr-spreadsheet,Orijen Adult Original Dog,retailer|unknown,,,,,,orijen-orijen-adult-original-dog-dog-dry-gr-spreadsheet
orijen|adult regional red|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,orijen-orijen-adult-regional-red-dog-dry-gr-spreadsheet,Orijen Adult Regional Red,retailer|unknown,,,,,,orijen-orijen-adult-regional-red-dog-dry-gr-spreadsheet
orijen|puppy large|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,orijen-orijen-puppy-large-dog-dry-gr-spreadsheet,Orijen Puppy Large,retailer|unknown,,,,,,orijen-orijen-puppy-large-dog-dry-gr-spreadsheet
orijen|senior dog|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,orijen-orijen-senior-dog-dog-dry-gr-spreadsheet,Orijen Senior Dog,retailer|unknown,,,,,,orijen-orijen-senior-dog-dog-dry-gr-spreadsheet
royal canin|puppy giant|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,royal-canin-puppy-giant-dog-dry-gr-official,Royal Canin PUPPY - GIANT,official|unknown,,,,,,royal-canin-puppy-giant-dog-dry-gr-official|royal-canin-royal-canin-puppy-giant-dog-dry-gr-spreadsheet
royal canin|puppy maxi|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,royal-canin-puppy-maxi-dog-dry-gr-official,Royal Canin PUPPY - MAXI,official|unknown,,,,,,royal-canin-puppy-maxi-dog-dry-gr-official|royal-canin-royal-canin-puppy-maxi-dog-dry-gr-spreadsheet
royal canin|puppy medium|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,royal-canin-puppy-medium-dog-dry-gr-official,Royal Canin PUPPY - MEDIUM,official|unknown,,,,,,royal-canin-puppy-medium-dog-dry-gr-official|royal-canin-royal-canin-puppy-medium-dog-dry-gr-spreadsheet
royal canin|puppy mini|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,royal-canin-puppy-mini-dog-dry-gr-official,Royal Canin PUPPY - MINI,official|unknown,,,,,,royal-canin-puppy-mini-dog-dry-gr-official|royal-canin-royal-canin-puppy-mini-dog-dry-gr-spreadsheet
sam s field|adult grain free beef|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sams-field-sam-s-field-adult-grain-free-beef-dog-dry-gr-document,Sam's Field Adult Grain Free Beef,unknown,,,,,,sams-field-sam-s-field-adult-grain-free-beef-dog-dry-gr-document|sam-s-field-sam-s-field-adult-grain-free-με-μοσχαρι-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-adult-grain-free-beef-dog-dry-gr-spreadsheet
sam s field|adult mini chicken|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sams-field-sam-s-field-adult-mini-chicken-dog-dry-gr-document,Sam's Field Adult Mini Chicken,unknown,,,,,,sams-field-sam-s-field-adult-mini-chicken-dog-dry-gr-document|sam-s-field-sam-s-field-adult-mini-chicken-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-adult-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet
sam s field|puppy chicken|dog|dry,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,sams-field-sam-s-field-puppy-chicken-dog-dry-gr-document,Sam's Field Puppy Chicken,unknown,,,,,,sams-field-sam-s-field-puppy-chicken-dog-dry-gr-document|sam-s-field-sam-s-field-puppy-με-κοτοπουλο-dog-dry-gr-spreadsheet|sam-s-field-sam-s-field-puppy-chicken-dog-dry-gr-spreadsheet
schesir|kitten φιλετακια σε ζελε chicken and αλοη|cat|wet,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-kitten-φιλετακια-σε-ζελε-με-κοτοπουλο-αλοη-cat-wet-gr-ods,Schesir Kitten Φιλετάκια σε Ζελέ με Κοτόπουλο & Αλόη,official|unknown,,,,,,schesir-schesir-kitten-φιλετακια-σε-ζελε-με-κοτοπουλο-αλοη-cat-wet-gr-ods|schesir-schesir-kitten-jelly-chicken-aloe-cat-wet-gr-spreadsheet
schesir|puppy chicken and αλοη σε ζελε|dog|wet,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-puppy-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods,Schesir Puppy με Κοτόπουλο & Αλόη σε Ζελέ,retailer|unknown,,,,,,schesir-schesir-puppy-με-κοτοπουλο-αλοη-σε-ζελε-dog-wet-gr-ods|schesir-schesir-puppy-chicken-aloe-jelly-dog-wet-gr-spreadsheet
schesir|puppy tuna and αλοη σε ζελε|dog|wet,3,0,3,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,schesir-schesir-puppy-με-τονο-αλοη-σε-ζελε-dog-wet-gr-ods,Schesir Puppy με Τόνο & Αλόη σε Ζελέ,retailer|unknown,,,,,,schesir-schesir-puppy-με-τονο-αλοη-σε-ζελε-dog-wet-gr-ods|schesir-schesir-puppy-tuna-aloe-jelly-dog-wet-gr-spreadsheet
aatu|adult adult grain free 80 20 oστρακοδερμa|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,aatu-aatu-adult-adult-grain-free-80-20-o-a-dog-dry-gr-spreadsheet,AATU Adult Adult Grain Free 80/20 με Oστρακόδερμa,unknown,,,,,,aatu-aatu-adult-adult-grain-free-80-20-o-a-dog-dry-gr-spreadsheet|aatu-aatu-adult-adult-grain-free-80-20-με-oστρακοδερμa-dog-dry-gr-spreadsheet
aatu|adult dog grain free 80 20 salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,aatu-aatu-adult-dog-grain-free-80-20-salmon-dog-dry-gr-spreadsheet,AATU Adult Dog Grain Free 80/20 με Σολομό,unknown,,,,,,aatu-aatu-adult-dog-grain-free-80-20-salmon-dog-dry-gr-spreadsheet|aatu-aatu-adult-dog-grain-free-80-20-με-σολομο-dog-dry-gr-spreadsheet
aatu|adult grain free 80 20 chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,aatu-aatu-adult-grain-free-80-20-chicken-dog-dry-gr-spreadsheet,AATU Adult Grain Free 80/20 με Κοτόπουλο,unknown,,,,,,aatu-aatu-adult-grain-free-80-20-chicken-dog-dry-gr-spreadsheet|aatu-aatu-adult-grain-free-80-20-με-κοτοπουλο-dog-dry-gr-spreadsheet
acana|adult grassfed lamb|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-adult-grassfed-lamb-dog-dry-gr-spreadsheet,ACANA Adult GrassFed Lamb,unknown,,,,,,acana-acana-adult-grassfed-lamb-dog-dry-gr-spreadsheet
acana|grasslands adult cat and kitten|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-grasslands-adult-cat-kitten-cat-dry-gr-spreadsheet,ACANA Grasslands Adult Cat & Kitten,retailer|unknown,,,,,,acana-acana-grasslands-adult-cat-kitten-cat-dry-gr-spreadsheet
acana|pacifica adult cat and kitten|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,acana-acana-pacifica-adult-cat-kitten-cat-dry-gr-spreadsheet,ACANA Pacifica Adult Cat & Kitten,retailer|unknown,,,,,,acana-acana-pacifica-adult-cat-kitten-cat-dry-gr-spreadsheet
ambrosia|grain free adult large turkey and chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-grain-free-adult-large-turkey-and-chicken-dog-dry-gr-retailer,Ambrosia Grain Free Adult large turkey and chicken 12Kg,retailer,,,,,,ambrosia-grain-free-adult-large-turkey-and-chicken-dog-dry-gr-retailer|ambrosia-grain-free-adult-large-turkey-chicken-dog-dry-gr-retailer
ambrosia pet food|ambrosia adult chicken and φρεσκο salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-με-κοτοπουλο-φρεσκο-σολομο-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult με Κοτόπουλο & Φρέσκο Σολομό,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-με-κοτοπουλο-φρεσκο-σολομο-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-chicken-salmon-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia adult σκουμπρι and βουβαλι|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-με-σκουμπρι-βουβαλι-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult με Σκουμπρί & Βουβάλι,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-με-σκουμπρι-βουβαλι-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia adult φρεσκια πεστροφα and duck|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-με-φρεσκια-πεστροφα-παπια-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult με Φρέσκια Πέστροφα & Πάπια,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-με-φρεσκια-πεστροφα-παπια-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-duck-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia adult dog lamb and salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-dog-lamb-salmon-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult Dog με Αρνί & Σολομό,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-dog-lamb-salmon-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-dog-με-αρνι-σολομο-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia adult dog chicken and λαχανικα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-dog-chicken-vegetables-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult Dog με Κοτόπουλο & Λαχανικά,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-dog-chicken-vegetables-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-dog-με-κοτοπουλο-λαχανικα-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia adult mini beef and φρεσκα λευκα fish α|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-mini-με-μοσχαρι-φρεσκα-λευκα-ψαρια-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult Mini με Μοσχάρι & Φρέσκα Λευκά Ψάρια,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-mini-με-μοσχαρι-φρεσκα-λευκα-ψαρια-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-mini-beef-fish-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia adult mini φρεσκια turkey and salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-adult-mini-με-φρεσκια-γαλοπουλα-σολομο-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Adult Mini με Φρέσκια Γαλοπούλα & Σολομό,unknown,,,,,,ambrosia-pet-food-ambrosia-adult-mini-με-φρεσκια-γαλοπουλα-σολομο-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-adult-mini-turkey-salmon-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia puppy growth chicken and φρεσκα λευκα fish α|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-puppy-growth-με-κοτοπουλο-φρεσκα-λευκα-ψαρια-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Puppy Growth με Κοτόπουλο & Φρέσκα Λευκά Ψάρια,unknown,,,,,,ambrosia-pet-food-ambrosia-puppy-growth-με-κοτοπουλο-φρεσκα-λευκα-ψαρια-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-puppy-growth-chicken-fish-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia puppy large chicken and φρεσκα λευκα fish α|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-puppy-large-chicken-fish-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Puppy Large με Κοτόπουλο & Φρέσκα Λευκά Ψάρια,unknown,,,,,,ambrosia-pet-food-ambrosia-puppy-large-chicken-fish-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-puppy-large-με-κοτοπουλο-φρεσκα-λευκα-ψαρια-dog-dry-gr-spreadsheet
ambrosia pet food|ambrosia senior light and sterilized turkey and φρεσκο salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,ambrosia-pet-food-ambrosia-senior-light-sterilized-με-γαλοπουλα-φρεσκο-σολομο-dog-dry-gr-spreadsheet,Ambrosia Pet Food Ambrosia Senior Light & Sterilized με Γαλοπούλα & Φρέσκο Σολομό,unknown,,,,,,ambrosia-pet-food-ambrosia-senior-light-sterilized-με-γαλοπουλα-φρεσκο-σολομο-dog-dry-gr-spreadsheet|ambrosia-pet-food-ambrosia-senior-light-sterilized-turkey-salmon-dog-dry-gr-spreadsheet
amity|adult salmon and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,amity-amity-adult-salmon-rice-dog-dry-gr-spreadsheet,Amity Adult με Σολομό & Ρύζι,unknown,,,,,,amity-amity-adult-salmon-rice-dog-dry-gr-spreadsheet|amity-amity-adult-με-σολομο-ρυζι-dog-dry-gr-spreadsheet
amity|senior and light dog πουλερικα and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,amity-amity-senior-light-dog-rice-dog-dry-gr-spreadsheet,Amity Senior & Light Dog με Πουλερικά & Ρύζι,unknown,,,,,,amity-amity-senior-light-dog-rice-dog-dry-gr-spreadsheet|amity-amity-senior-light-dog-με-πουλερικα-ρυζι-dog-dry-gr-spreadsheet
barking heads|adult bowl lickin chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-adult-bowl-lickin-chicken-dog-dry-gr-spreadsheet,Barking Heads Adult Bowl Lickin με Κοτόπουλο,unknown,,,,,,barking-heads-barking-heads-adult-bowl-lickin-chicken-dog-dry-gr-spreadsheet|barking-heads-barking-heads-adult-bowl-lickin-με-κοτοπουλο-dog-dry-gr-spreadsheet
barking heads|adult fish and delish grain free salmon and πεστροφα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-adult-fish-delish-grain-free-salmon-dog-dry-gr-spreadsheet,Barking Heads Adult Fish & Delish Grain Free με Σολομό και Πέστροφα,unknown,,,,,,barking-heads-barking-heads-adult-fish-delish-grain-free-salmon-dog-dry-gr-spreadsheet|barking-heads-barking-heads-adult-fish-delish-grain-free-με-σολομο-και-πεστροφα-dog-dry-gr-spreadsheet
barking heads|large lickin bowl chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-large-lickin-bowl-με-κοτοπουλο-dog-dry-gr-spreadsheet,Barking Heads Large Lickin Bowl με Κοτόπουλο,unknown,,,,,,barking-heads-barking-heads-large-lickin-bowl-με-κοτοπουλο-dog-dry-gr-spreadsheet|barking-heads-barking-heads-large-lickin-bowl-chicken-dog-dry-gr-spreadsheet
barking heads|puppy days chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-puppy-days-με-κοτοπουλο-dog-dry-gr-spreadsheet,Barking Heads Puppy Days με Κοτόπουλο,unknown,,,,,,barking-heads-barking-heads-puppy-days-με-κοτοπουλο-dog-dry-gr-spreadsheet|barking-heads-barking-heads-puppy-days-chicken-dog-dry-gr-spreadsheet
