formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
briantos-adult-grain-free-duck-potato-dog-dry-eu-retailer,Briantos,Adult Grain-Free Duck & Potato,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/grain_free/997870?activeVariant=997870.2,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=product_page; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true
josera-active-nature-dog-dry-eu-official,Josera,Active Nature,dog,candidate,https://josera.com/en/product/active-nature,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent,,market=EU; locale=en; basis=as-fed; source_tier=official; source_kind=product_page; human_qa_required_before_recommendation=true; official_structured_product_resource=true
akvatera-natures-protection-superior-care-sensitive-skin-stomach-adult-small-breeds-lamb-dog-dry-gr-retailer,Akvatera,Natures Protection Superior Care Sensitive Skin&Stomach Adult Small Breeds Lamb,dog,candidate,https://www.petsamolis.gr/skylos/trofes-skylon/xira-trofi-skylou/super-premium-skylon/akvateranaturesprot-supercarespecialneedsd-fsensitiveskinandstomachadultsmallbreeds1-5kg2040828,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|potassium_percent|omega3_percent|omega6_percent,,market=GR; locale=el; basis=as-fed; source_tier=retailer; source_kind=product_page; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=34.9; default_moisture_percent=10
royal-canin-yorkshire-terrier-adult-dog-dry-gr-official,Royal Canin,Yorkshire Terrier Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/yorkshire-terrier-adult-3051,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=product_page; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Yorkshire Terrier; missing_calcium_phosphorus_on_source=true
