formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
royal-canin-veterinary-diet-royal-canin-veterinary-canine-hypoallergenic-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Hypoallergenic,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/313823?activeVariant=313823.4,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=42.7
royal-canin-veterinary-diet-royal-canin-veterinary-canine-gastrointestinal-low-fat-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Gastrointestinal Low Fat,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/567604,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=53.1
markus-muhle-markus-muhle-naturnahfutter-dog-dry-eu-retailer,Markus Mühle,Markus-Mühle Naturnahfutter,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/markus_muehle/naturnah/128238?activeVariant=128238.4,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=44.2
royal-canin-veterinary-diet-royal-canin-veterinary-canine-satiety-weight-management-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine - Satiety Weight Management,dog,hold,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/323025,ingredient_text,protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=false
royal-canin-veterinary-diet-royal-canin-veterinary-canine-anallergenic-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Anallergenic,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/570263?activeVariant=570263.5,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=47.3
royal-canin-veterinary-diet-royal-canin-veterinary-dog-gastrointestinal-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Dog - Gastrointestinal,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/313819?activeVariant=313819.9,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=36.7
wolf-of-wilderness-2-x-1kg-wolf-of-wilderness-dry-dog-food-try-now-dog-dry-eu-retailer,Wolf of Wilderness,2 x 1kg Wolf of Wilderness Dry Dog Food - Try Now!,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/trial_pack/2014430?activeVariant=2014430.24,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37
hill-s-prescription-diet-canine-i-d-low-fat-digestive-care-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,Canine i/d Low Fat Digestive Care - Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/gastrointestinal/599535,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=46.7
wolf-of-wilderness-adult-wild-hills-duck-grain-free-dog-dry-eu-retailer,Wolf of Wilderness,"Adult ""Wild Hills"" Duck - Grain-Free",dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/206814/497279?activeVariant=497279.15,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=39
briantos-grain-free-economy-pack-2-x-12kg-dog-dry-eu-retailer,Briantos,Grain-Free Economy Pack 2 x 12kg,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/saver_packs/999078,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|moisture_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=37.8
