canonical_identity_key,rank,score,decision,dataset_file,formula_key,brand,display_name,species,format,source_priority,title_source_priority,missing_blockers,filled_core_fields,filled_mineral_fields,has_kcal,has_source
royal canin|dachshund adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-dachshund-adult-dog-dry-gr-official,Royal Canin,Royal Canin Dachshund Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|dachshund adult|dog|dry,2,86.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-dachshund-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Dachshund Adult 1.5kg,dog,dry,retailer,60,,5,2,yes,yes
royal canin|dalmatian adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-dalmatian-adult-dog-dry-gr-official,Royal Canin,Royal Canin Dalmatian Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|dalmatian adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-dalmatian-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Dalmatian Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|french bulldog adult|dog|dry,1,86.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-french-bulldog-adult-dog-dry-gr-official,Royal Canin,Royal Canin French Bulldog Adult,dog,dry,official,40,,5,0,yes,yes
royal canin|french bulldog adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-french-bulldog-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin French Bulldog Adult 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|french bulldog adult|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-french-bulldog-adult-dog-dry-gr-photo,Royal Canin,Royal Canin French Bulldog Adult,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|german shepherd adult|dog|dry,1,83.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-german-shepherd-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin German Shepherd Adult 11kg,dog,dry,retailer,60,,5,1,yes,yes
royal canin|german shepherd adult|dog|dry,2,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-german-shepherd-adult-dog-dry-gr-official,Royal Canin,Royal Canin German Shepherd Adult,dog,dry,official,40,,4,0,yes,yes
royal canin|german shepherd junior|dog|dry,1,86.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-german-shepherd-junior-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin German Shepherd Junior 12kg,dog,dry,retailer,60,,5,2,yes,yes
royal canin|giant adult|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-giant-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Giant Adult 4kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|giant adult|dog|dry,2,48.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-giant-adult-dog-dry-gr-official,Royal Canin,Royal Canin GIANT ADULT,dog,dry,official,40,fat_percent|fiber_percent,3,0,yes,yes
royal canin|giant adult|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-giant-adult-dog-dry-gr-photo,Royal Canin,Royal Canin Giant Adult,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|giant junior|dog|dry,1,86.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-giant-junior-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Giant Junior 15kg,dog,dry,retailer,60,,5,2,yes,yes
royal canin|giant puppy|dog|dry,1,86.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-giant-puppy-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Giant Puppy 3.5kg,dog,dry,retailer,60,,5,2,yes,yes
royal canin|golden retriever adult|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-golden-retriever-adult-dog-dry-gr-official,Royal Canin,Royal Canin Golden Retriever Adult,dog,dry,official,40,,4,0,yes,yes
royal canin|golden retriever adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-golden-retriever-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Golden Retriever Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|golden retriever junior|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-golden-retriever-junior-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Golden Retriever Junior 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|jack russell terrier adult|dog|dry,1,83.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-jack-russell-terrier-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Jack Russell Terrier Adult 3kg,dog,dry,retailer,60,,5,1,yes,yes
royal canin|labrador adult|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-labrador-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Labrador Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
