source_file,extension,title,source_url,source_domain,probable_food_page,has_ingredients,has_analysis,has_kcal,has_ash,has_minerals,has_feeding_guide,duplicate_url_count,duplicate_title_count,readiness,notes
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\11247-belcando-adult-light-1kg.html,html,Belcando Adult Light 1kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/11247-belcando-adult-light-1kg.html,gatoskilo.gr,yes,yes,yes,no,yes,yes,yes,1,2,import_candidate_needs_kcal_or_estimate,duplicate_title_or_pack_variant|missing_kcal|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\12899-nd-ocean-low-grain-cod-orange-adult-mini-25kg.html,html,N&D Ocean Low Grain Cod & Orange Adult Mini 2.5kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/12899-nd-ocean-low-grain-cod-orange-adult-mini-25kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\19195-happy-dog-naturcroq-solomos-rizi-11kg.html,html,Happy Dog NaturCroq Σολομός & Ρύζι 11kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/19195-happy-dog-naturcroq-solomos-rizi-11kg.html,gatoskilo.gr,yes,yes,yes,no,yes,yes,yes,1,2,import_candidate_needs_kcal_or_estimate,duplicate_title_or_pack_variant|missing_kcal|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\25313-ambrosia-mediterranean-grain-free-senior-light-sterilised-fresh-sardine-cod-5kg.html,html,Ambrosia Mediterranean Grain Free Senior Light & Sterilised Fresh Sardine & Cod 5kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/25313-ambrosia-mediterranean-grain-free-senior-light-sterilised-fresh-sardine-cod-5kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,2,strong_import_candidate,duplicate_title_or_pack_variant|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\26510-brit-care-grain-free-dog-junior-large-salmon-12kg.html,html,Brit Care Grain Free Dog Junior Large Salmon 12kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/26510-brit-care-grain-free-dog-junior-large-salmon-12kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\26513-brit-care-grain-free-dog-puppy-salmon-12kg.html,html,Brit Care Grain Free Dog Puppy Salmon 12kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/26513-brit-care-grain-free-dog-puppy-salmon-12kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,2,strong_import_candidate,duplicate_title_or_pack_variant|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\27189-gemon-dog-adult-all-breeds-chicken-rice-20kg.html,html,Gemon Dog Adult All Breeds Chicken & Rice 20kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/27189-gemon-dog-adult-all-breeds-chicken-rice-20kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28341-club-4-paws-puppies-large-breeds-14kg.html,html,Club 4 Paws Puppies Large Breeds 14kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/28341-club-4-paws-puppies-large-breeds-14kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28350-club-4-paws-adult-medium-chicken-2kg.html,html,Club 4 Paws Adult Medium Chicken 2kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/28350-club-4-paws-adult-medium-chicken-2kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,2,strong_import_candidate,duplicate_title_or_pack_variant|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28495-happy-dog-ireland-11kg.html,html,Happy Dog Ireland 11kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/28495-happy-dog-ireland-11kg.html,gatoskilo.gr,yes,yes,yes,no,yes,yes,yes,1,1,import_candidate_needs_kcal_or_estimate,missing_kcal|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\28920-reflex-plus-maxi-junior-lamb-rice-18kg.html,html,Reflex Plus Maxi Junior Lamb & Rice 18kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/28920-reflex-plus-maxi-junior-lamb-rice-18kg.html,gatoskilo.gr,yes,yes,yes,no,yes,yes,no,1,1,import_candidate_needs_kcal_or_estimate,missing_kcal
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\29038-nd-quinoa-grain-free-duck-neutered-adult-med-maxi-12kg.html,html,N&D Quinoa Grain Free Duck Neutered Adult Med/Maxi 12kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/29038-nd-quinoa-grain-free-duck-neutered-adult-med-maxi-12kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\7611-wellness-core-healthy-weight-small-breed-galopoula-15kg.html,html,Wellness CORE Healthy Weight Small Breed Γαλοπούλα 1.5kg,https://www.gatoskilo.gr/ksira-trofi-skyloy/7611-wellness-core-healthy-weight-small-breed-galopoula-15kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\Acana Bountiful Catch Adult 4.5kg - Gatoskilo.html,html,Acana Bountiful Catch Adult 4.5kg,https://www.gatoskilo.gr/ksira-trofi-gatas/15598-acana-bountiful-catch-adult-45kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\Acana Grasslands Cat & Kitten 4.5kg - Gatoskilo.html,html,Acana Grasslands Cat & Kitten 4.5kg,https://www.gatoskilo.gr/ksira-trofi-gatas/12562-acana-grasslands-cat-kitten-45kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,1,strong_import_candidate,feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\Acana Indoor Entrée Adult Sterilised 1.8kg - Gatoskilo.html,html,Acana Indoor Entrée Adult Sterilised 1.8kg,https://www.gatoskilo.gr/ksira-trofi-gatas/13298-acana-indoor-entrée-adult-sterilised-18kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,2,strong_import_candidate,duplicate_title_or_pack_variant|feeding_guide_available
C:\Users\NIOstb\Desktop\photo_foods_nutritail\gatoskilo htmls part 1\Acana Indoor Entrée Adult Sterilised 4.5kg - Gatoskilo.html,html,Acana Indoor Entrée Adult Sterilised 4.5kg,https://www.gatoskilo.gr/ksira-trofi-gatas/13299-acana-indoor-entrée-adult-sterilised-45kg.html,gatoskilo.gr,yes,yes,yes,yes,yes,yes,yes,1,2,strong_import_candidate,duplicate_title_or_pack_variant|feeding_guide_available
