formula_key,brand,formula_name,species,format,status,source_file,extracted_fields,missing_fields,recommended_action,notes
monge-vetsolution-vetsolution-obesity-dog-dry-eu-pdf,Monge VetSolution,VetSolution Obesity,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Monge-vetsolution-obesity-canine-EN.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Monge-vetsolution-obesity-canine-EN.pdf; human_qa_required_before_recommendation=true
monge-vetsolution-vetsolution-renal-and-oxalate-dog-dry-eu-pdf,Monge VetSolution,VetSolution Renal and Oxalate,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Monge-vetsolution-renal-and-oxalate-canine-EN-2.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|medical_tags|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|sodium_percent|magnesium_percent|potassium_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|iron_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Monge-vetsolution-renal-and-oxalate-canine-EN-2.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=42.6; default_moisture_percent=10; kcal_estimation_confidence=medium
monge-bwild-bwild-all-breeds-puppy-e-junior-duck-with-potatoes-gb-dog-dry-eu-pdf,Monge BWild,Bwild All Breeds Puppy E Junior Duck with Potatoes Gb,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge_dog_dry_bwild_all_breeds_puppy_e_junior_duck_with_potatoes_GB.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|omega3_percent|omega6_percent|l_carnitine_mgkg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_missing=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/monge_dog_dry_bwild_all_breeds_puppy_e_junior_duck_with_potatoes_GB.pdf; human_qa_required_before_recommendation=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=33.5; default_moisture_percent=10; kcal_estimation_confidence=medium
simba-adult-with-beef-dog-dry-eu-pdf,Simba,Adult with Beef,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-beef-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-beef-ENG.pdf; human_qa_required_before_recommendation=true
simba-adult-with-chicken-dog-dry-eu-pdf,Simba,Adult with Chicken,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-chicken-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-chicken-ENG.pdf; human_qa_required_before_recommendation=true
simba-adult-with-lamb-dog-dry-eu-pdf,Simba,Adult with Lamb,dog,dry,needs_backfill,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-lamb-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-lamb-ENG.pdf; human_qa_required_before_recommendation=true
simba-adult-with-tuna-dog-dry-eu-pdf,Simba,Adult with Tuna,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-tuna-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-kibbles-with-tuna-ENG.pdf; human_qa_required_before_recommendation=true
simba-adult-soup-dog-wet-eu-pdf,Simba,Adult Soup,dog,wet,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-soup-ENG.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Simba-adult-dog-soup-ENG.pdf; human_qa_required_before_recommendation=true
special-dog-classic-all-breeds-with-chicken-dog-dry-eu-pdf,Special Dog,Classic All Breeds with Chicken,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Special-Dog-Classic-all-Breeds-with-Chicken-EN.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Special-Dog-Classic-all-Breeds-with-Chicken-EN.pdf; human_qa_required_before_recommendation=true
special-dog-excellence-all-breeds-adult-chicken-dog-dry-eu-pdf,Special Dog,Excellence All Breeds Adult Chicken,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Special-Dog-Excellence-All-Breeds-Adult-Chicken-EN.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Special-Dog-Excellence-All-Breeds-Adult-Chicken-EN.pdf; human_qa_required_before_recommendation=true
special-dog-excellence-all-breeds-monoprotein-adult-beef-dog-dry-eu-pdf,Special Dog,Excellence All Breeds Monoprotein Adult Beef,dog,dry,importable_after_qa,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Special-Dog-Excellence-All-Breeds-Monoprotein-Adult-Dog-Beef-EN.pdf,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|additives_text|feeding_guide_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent|vitamin_a_iukg|vitamin_d3_iukg|vitamin_e_mgkg|iron_mgkg|zinc_mgkg|copper_mgkg|manganese_mgkg|iodine_mgkg|selenium_mgkg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,"Preview in Food V2, run Check Existing, then commit only reviewed rows.",market=EU; basis=as-fed; source_tier=official_pdf; source_group=monge_family_pdf; label_energy_used=true; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/Special-Dog-Excellence-All-Breeds-Monoprotein-Adult-Dog-Beef-EN.pdf; human_qa_required_before_recommendation=true
