priority,issue_type,brand,name,species,market,data_quality_status,field,current_value,recommended_action,data_source_url
medium,missing_optional_mineral,Ambrosia,Chicken & Veggies,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/chicken-veggies/
medium,missing_optional_mineral,Ambrosia,Chicken & Veggies,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/chicken-veggies/
medium,partial_row,Ambrosia,Chicken & Veggies,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/chicken-veggies/
medium,missing_optional_mineral,Ambrosia,Fresh Duck,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-duck/
medium,missing_optional_mineral,Ambrosia,Fresh Duck,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-duck/
medium,partial_row,Ambrosia,Fresh Duck,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-duck/
medium,missing_optional_mineral,Ambrosia,Fresh Lamb,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-lamb/
medium,missing_optional_mineral,Ambrosia,Fresh Lamb,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-lamb/
medium,partial_row,Ambrosia,Fresh Lamb,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-lamb/
medium,missing_optional_mineral,Ambrosia,Fresh Salmon & Chicken,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/
medium,missing_optional_mineral,Ambrosia,Fresh Salmon & Chicken,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/
medium,partial_row,Ambrosia,Fresh Salmon & Chicken,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-salmon-chicken/
medium,missing_optional_mineral,Ambrosia,Fresh Salmon & Rabbit,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/
medium,missing_optional_mineral,Ambrosia,Fresh Salmon & Rabbit,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/
medium,partial_row,Ambrosia,Fresh Salmon & Rabbit,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-salmon-rabbit/
medium,missing_optional_mineral,Ambrosia,Fresh Salmon & Turkey,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/
medium,missing_optional_mineral,Ambrosia,Fresh Salmon & Turkey,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/
medium,partial_row,Ambrosia,Fresh Salmon & Turkey,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-salmon-turkey/
medium,missing_optional_mineral,Ambrosia,Fresh Sardine & Cod,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-sardine-cod/
medium,missing_optional_mineral,Ambrosia,Fresh Sardine & Cod,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-sardine-cod/
medium,partial_row,Ambrosia,Fresh Sardine & Cod,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-sardine-cod/
medium,missing_optional_mineral,Ambrosia,Fresh Sardine & Tuna,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/
medium,missing_optional_mineral,Ambrosia,Fresh Sardine & Tuna,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/
medium,partial_row,Ambrosia,Fresh Sardine & Tuna,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-sardine-tuna/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Chicken,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Chicken,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/
medium,partial_row,Ambrosia,Fresh Turkey & Chicken,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-turkey-chicken/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Duck,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-duck/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Duck,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-duck/
medium,partial_row,Ambrosia,Fresh Turkey & Duck,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-turkey-duck/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Rabbit,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Rabbit,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/
medium,partial_row,Ambrosia,Fresh Turkey & Rabbit,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-turkey-rabbit/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Salmon,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/
