formula_guess,species_guess,folder_path,file_name,panel_guess,sort_order,file_size_bytes,review_action
Royal Canin shih tzu adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal shih tzu adult,016963.jpg,unknown,98,65721,Use as supporting evidence only.
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999-1.jpg,benefits_or_claims,1,78218,Use as supporting evidence only.
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999-2.jpg,kibble_or_detail,2,88932,Use as supporting evidence only.
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999-3.jpg,pack_front_or_range,3,83769,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999-4.jpg,feeding_guide,4,105363,Open for feeding table; check whether calories or pack weight are visible.
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999-5.jpg,analysis_and_composition,5,140163,Open first for ingredients and analytical constituents transcription.
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999-6.jpg,pack_front,6,118959,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin west highland white terrier adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal west highland white terrier adult,016999.jpg,unknown,98,66171,Use as supporting evidence only.
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990-1.jpg,benefits_or_claims,1,80037,Use as supporting evidence only.
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990-2.jpg,kibble_or_detail,2,91701,Use as supporting evidence only.
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990-3.jpg,pack_front_or_range,3,89987,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990-4.jpg,feeding_guide,4,123658,Open for feeding table; check whether calories or pack weight are visible.
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990-5.jpg,analysis_and_composition,5,115459,Open first for ingredients and analytical constituents transcription.
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990-6.jpg,pack_front,6,112632,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin xsmall adult,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult,016990.jpg,unknown,98,65688,Use as supporting evidence only.
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998-1.jpg,benefits_or_claims,1,101592,Use as supporting evidence only.
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998-2.jpg,kibble_or_detail,2,85146,Use as supporting evidence only.
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998-3.jpg,pack_front_or_range,3,99262,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998-4.jpg,feeding_guide,4,123726,Open for feeding table; check whether calories or pack weight are visible.
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998-5.jpg,analysis_and_composition,5,131785,Open first for ingredients and analytical constituents transcription.
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998-6.jpg,pack_front,6,119773,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin xsmall adult ageing 12+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 12+,016998.jpg,unknown,98,87066,Use as supporting evidence only.
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048-1.jpg,benefits_or_claims,1,83802,Use as supporting evidence only.
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048-2.jpg,kibble_or_detail,2,87998,Use as supporting evidence only.
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048-3.jpg,pack_front_or_range,3,90254,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048-4.jpg,feeding_guide,4,123585,Open for feeding table; check whether calories or pack weight are visible.
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048-5.jpg,analysis_and_composition,5,126257,Open first for ingredients and analytical constituents transcription.
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048-6.jpg,pack_front,6,113850,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin xsmall adult ageing 8+,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal xsmall adult ageing 8+,017048.jpg,unknown,98,97791,Use as supporting evidence only.
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-1.jpg,benefits_or_claims,1,110877,Use as supporting evidence only.
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-2.jpg,kibble_or_detail,2,86526,Use as supporting evidence only.
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-3.jpg,pack_front_or_range,3,94235,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-4.jpg,feeding_guide,4,102888,Open for feeding table; check whether calories or pack weight are visible.
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-5.jpg,analysis_and_composition,5,147556,Open first for ingredients and analytical constituents transcription.
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-6.jpg,pack_front,6,137270,"Open for formula identity, species, life stage, and pack artwork confirmation."
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996-7.jpg,pack_or_barcode_candidate,7,132610,Open for barcode/EAN and exact pack identity.
Royal Canin yorkshire terrier puppy,dog,C:/Users/NIOstb/Desktop/photo_foods_nutritail/royal yorkshire terrier puppy,016996.jpg,unknown,98,68282,Use as supporting evidence only.
