brand,formula_name,display_name,species,format,life_stage,dog_size,breed_target,medical_tags,commercial_tags,ingredient_text,ingredients,primary_animal_proteins,carbohydrate_sources,fat_sources,fiber_sources,additives_text,feeding_guide_text,kcal_per_100g,kcal_per_kg,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,calcium_percent,phosphorus_percent,sodium_percent,magnesium_percent,potassium_percent,omega3_percent,omega6_percent,dha_percent,epa_percent,taurine_mgkg,l_carnitine_mgkg,glucosamine_mgkg,chondroitin_mgkg,vitamin_a_iukg,vitamin_d3_iukg,vitamin_e_mgkg,iron_mgkg,zinc_mgkg,copper_mgkg,manganese_mgkg,iodine_mgkg,selenium_mgkg,data_quality_status,data_source_url,source_priority,source_notes,formula_key,ean
Dog & Dog,Dog & Dog Wild Puppy All Breeds Natural Instinct,Dog & Dog Wild Puppy All Breeds Natural Instinct,dog,dry,puppy,all,,,dog;dry;grain_free;puppy;duck;salmon;chicken;pea,"deboned pork dried, peas (23%), cooked duck dried (15%), fresh meat of salmon (10%), pea starch, animal fat, dried chicken protein, hydrolysed animal proteins, freshly prepared salmon dried (2%), broken chestnuts (2%), eggs (0,2%), hibiscus flowers (0,192%), Rosa canina L. and Rosa pendulina L. flowers (0,024%), raspberries (0,008%), blackberries (0,008%), strawberries (0,008%).","[""deboned pork dried"", ""peas (23%)"", ""cooked duck dried (15%)"", ""fresh meat of salmon (10%)"", ""pea starch"", ""animal fat"", ""dried chicken protein"", ""hydrolysed animal proteins"", ""freshly prepared salmon dried (2%)"", ""broken chestnuts (2%)"", ""eggs (0,2%)"", ""hibiscus flowers (0,192%)"", ""Rosa canina L. and Rosa pendulina L. flowers (0,024%)"", ""raspberries (0,008%)"", ""blackberries (0,008%)"", ""strawberries (0,008%)""]",deboned pork dried;cooked duck dried (15%);fresh meat of salmon (10%);dried chicken protein;freshly prepared salmon dried (2%),peas (23%);pea starch;broken chestnuts (2%),animal fat,,"NUTRITIONAL ADDITIVES: Vitamin A 11.500 I.U. Vitamin D3 1.150 I.U. Copper (II) sulphate pentahydrate (Copper) 40,58 (10,33) mg TECHNOLOGICAL ADDITIVES: ANTIOXIDANTS Tocopherol extracts from vegetable oils 176,00 mg SENSORY ADDITIVES: NATURAL SUBSTANCES BOTANICALLY DEFINED. Rosemary extract 0,8 mg",w eight of the adul t dog a ge of the puppy 2 - 3 months 4 - 5 months 6 - 8 months 9 - 11 months 12 - 14 months 15 - 18 months 4 meals 4 meals 3 meals 3 meals 2 meals 2 meals 5 kg 79 - 93 g 99 - 102 g 103 - 102 g 102 g - Adult Adult Adult 10 kg 123 - 150 g 162 - 168 g 172 - 173 g 172 - 170 g Adult Adult 15 kg 167 - 203 g 220 - 228 g 232 - 234 g 234 - 230 g Adult Adult 20 kg 183 - 240 g 266 - 280 g 287 - 291 g 290 - 287 g 284 g - Adult Adult 30 kg 238 - 314 g 351 - 371 g 383 - 393 g 394 - 393 g 391 - 386 g Adult 40 kg 295 - 390 g 435 - 460 g 475 - 487 g 489 - 488 g 486 - 479 g Adult 50 kg 279 - 414 g 480 - 519 g 542 - 567 g 573 - 578 g 578 - 576 g 573 - 564 g 60 kg 320 - 474 g 551 - 595 g 622 - 650 g 657 - 663 g 663 - 660 g 657 - 646 g,,,44,16,2,7,,,,,,,,,,,,,,,11.5,1.15,,,,,,,,needs_review,,unknown,"market=EU; basis=as-fed; source_tier=uploaded_pdf; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PA brochureA5-Dog&DogWILD EN rev01-2024.pdf; source_pages=18-19; official_url_required=true; Auto-extracted from Dog & Dog Wild brochure PDF; verify against official source or label before import.; intro_excerpt=18 Dog & Dog - Wild Puppy all breeds Natural Instinct is a food for puppies of all sizes, containing a wide variety of meat, such as duck and salmon, competed by eggs, vegetabl",dog-dog-dog-dog-wild-puppy-all-breeds-natural-instinct-dog-dry-eu-pdf,
Dog & Dog,Dog & Dog Wild Adult All Breeds Regional Farm,Dog & Dog Wild Adult All Breeds Regional Farm,dog,dry,adult,all,,,dog;dry;grain_free;duck;chicken;rabbit;pea,"freshly prepared chicken dried (24%), peas (22%), animal fat, fresh meat of pork (10%), deboned pork dried, pea starch, cooked duck dried (5,5%), hydrolysed animal proteins, deboned rabbit dried (3,5%), broken chestnuts (2%), eggs, hibiscus flowers (0,192%), Rosa canina L. and Rosa pendulina L. flowers (0,024%), raspberries (0,008%), blackberries (0,008%), strawberries (0,008%).","[""freshly prepared chicken dried (24%)"", ""peas (22%)"", ""animal fat"", ""fresh meat of pork (10%)"", ""deboned pork dried"", ""pea starch"", ""cooked duck dried (5,5%)"", ""hydrolysed animal proteins"", ""deboned rabbit dried (3,5%)"", ""broken chestnuts (2%)"", ""eggs"", ""hibiscus flowers (0,192%)"", ""Rosa canina L. and Rosa pendulina L. flowers (0,024%)"", ""raspberries (0,008%)"", ""blackberries (0,008%)"", ""strawberries (0,008%)""]","freshly prepared chicken dried (24%);fresh meat of pork (10%);deboned pork dried;cooked duck dried (5,5%);deboned rabbit dried (3,5%)",peas (22%);pea starch;broken chestnuts (2%),animal fat,,"NUTRITIONAL ADDITIVES: Vitamin A 7.200 I.U. Vitamin D3 720 I.U. Copper (II) sulphate pentahydrate (Copper) 24,76 (6,30) mg TECHNOLOGICAL ADDITIVES: ANTIOXIDANTS Tocopherol extracts from vegetable oils 176,00 mg SENSORY ADDITIVES: NATURAL SUBSTANCES BOTANICALLY DEFINED. Rosemary extract 0,8 mg",d og ’s weight Divide into d og ’s weight Divide into 2 meals 2 meals 5 kg 77 - 89 g 30 kg 294 - 341 g 10 kg 129 - 150 g 40 kg 365 - 423 g 15 kg 175 - 203 g 50 kg 432 - 500 g 20 kg 217 - 252 g 60 kg 495 - 573 g EEUURROOPPEEAANN RREEGGIIOONNAALL OORRIIGGIINN,,,41.2,19,2,7.3,,,,,,,,,,,,,,,7.2,720,,,,,,,,needs_review,,unknown,"market=EU; basis=as-fed; source_tier=uploaded_pdf; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PA brochureA5-Dog&DogWILD EN rev01-2024.pdf; source_pages=20-21; official_url_required=true; Auto-extracted from Dog & Dog Wild brochure PDF; verify against official source or label before import.; intro_excerpt=20 Dog & Dog - Wild Adult all breeds Regional Farm is a food for adult dogs of all sizes, containing a wide variety of meat from the European farms, such as duck, chicken and ra",dog-dog-dog-dog-wild-adult-all-breeds-regional-farm-dog-dry-eu-pdf,
Dog & Dog,Dog & Dog Wild Adult All Breeds Regional Forest,Dog & Dog Wild Adult All Breeds Regional Forest,dog,dry,adult,all,,,dog;dry;grain_free;chicken;boar;venison;pea,"deboned pork dried (22,5%), peas (22%), animal fat, fresh meat of pork (10%), freshly prepared chicken dried, pea starch, wild boar dried (5,5%), hydrolysed animal proteins, wild venison dried (3,5%), broken chestnuts (2%), eggs, hibiscus flowers (0,192%), Rosa canina L. and Rosa pendulina L. flowers (0,024%), raspberries (0,008%), blackberries (0,008%), strawberries (0,008%).","[""deboned pork dried (22,5%)"", ""peas (22%)"", ""animal fat"", ""fresh meat of pork (10%)"", ""freshly prepared chicken dried"", ""pea starch"", ""wild boar dried (5,5%)"", ""hydrolysed animal proteins"", ""wild venison dried (3,5%)"", ""broken chestnuts (2%)"", ""eggs"", ""hibiscus flowers (0,192%)"", ""Rosa canina L. and Rosa pendulina L. flowers (0,024%)"", ""raspberries (0,008%)"", ""blackberries (0,008%)"", ""strawberries (0,008%)""]","deboned pork dried (22,5%);fresh meat of pork (10%);freshly prepared chicken dried;wild boar dried (5,5%);wild venison dried (3,5%)",peas (22%);pea starch;broken chestnuts (2%),animal fat,,"NUTRITIONAL ADDITIVES: Vitamin A 7.200 I.U. Vitamin D3 720 I.U. Copper (II) sulphate pentahydrate (Copper) 24,76 (6,30) mg TECHNOLOGICAL ADDITIVES: ANTIOXIDANTS Tocopherol extracts from vegetable oils 176,00 mg SENSORY ADDITIVES: NATURAL SUBSTANCES BOTANICALLY DEFINED. Rosemary extract 0,8 mg",d og ’s weight Divide into d og ’s weight Divide into 2 meals 2 meals 5 kg 77 - 89 g 30 kg 296 - 342 g 10 kg 130 - 150 g 40 kg 367 - 425 g 15 kg 176 - 204 g 50 kg 434 - 502 g 20 kg 218 - 253 g 60 kg 497 - 576 g EEUURROOPPEEAANN RREEGGIIOONNAALL OORRIIGGIINN,,,40.2,19,2,7.7,,,,,,,,,,,,,,,7.2,720,,,,,,,,needs_review,,unknown,"market=EU; basis=as-fed; source_tier=uploaded_pdf; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PA brochureA5-Dog&DogWILD EN rev01-2024.pdf; source_pages=22-23; official_url_required=true; Auto-extracted from Dog & Dog Wild brochure PDF; verify against official source or label before import.; intro_excerpt=22 Dog & Dog - Wild Adult all breeds Regional Forest is a food for adult dogs of all sizes, containing a wide variety of meat from the European forests, such as Italian swine, wil",dog-dog-dog-dog-wild-adult-all-breeds-regional-forest-dog-dry-eu-pdf,
Dog & Dog,Dog & Dog Wild Adult All Breeds Regional Grassland,Dog & Dog Wild Adult All Breeds Regional Grassland,dog,dry,adult,all,,,dog;dry;grain_free;chicken;lamb;buffalo;pea,"deboned pork dried (20,5%), peas (20%), freshly prepared chicken dried, fresh meat of pork (10%), pea starch, animal fat, free-range lamb (5,5%), hydrolysed animal proteins, free-range water buffalo dried (3,5%), broken chestnuts (2%), eggs, hibiscus flowers (0,192%), Rosa canina L. and Rosa pendulina L. flowers (0,024%), raspberries (0,008%), blackberries (0,008%), strawberries (0,008%).","[""deboned pork dried (20,5%)"", ""peas (20%)"", ""freshly prepared chicken dried"", ""fresh meat of pork (10%)"", ""pea starch"", ""animal fat"", ""free-range lamb (5,5%)"", ""hydrolysed animal proteins"", ""free-range water buffalo dried (3,5%)"", ""broken chestnuts (2%)"", ""eggs"", ""hibiscus flowers (0,192%)"", ""Rosa canina L. and Rosa pendulina L. flowers (0,024%)"", ""raspberries (0,008%)"", ""blackberries (0,008%)"", ""strawberries (0,008%)""]","deboned pork dried (20,5%);freshly prepared chicken dried;fresh meat of pork (10%);free-range lamb (5,5%);free-range water buffalo dried (3,5%)",peas (20%);pea starch;broken chestnuts (2%),animal fat,,"NUTRITIONAL ADDITIVES: Vitamin A 7.200 I.U. Vitamin D3 720 I.U. Copper (II) sulphate pentahydrate (Copper) 24,76 (6,30) mg TECHNOLOGICAL ADDITIVES: ANTIOXIDANTS Tocopherol extracts from vegetable oils 176,00 mg SENSORY ADDITIVES: NATURAL SUBSTANCES BOTANICALLY DEFINED. Rosemary extract 0,8 mg",d og ’s weight Divide into d og ’s weight Divide into 2 meals 2 meals 5 kg 77 - 89 g 30 kg 296 - 343 g 10 kg 130 - 150 g 40 kg 367 - 425 g 15 kg 176 - 204 g 50 kg 434 - 503 g 20 kg 218 - 253 g 60 kg 498 - 576 g EEUURROOPPEEAANN RREEGGIIOONNAALL OORRIIGGIINN,,,40,19,2,7.8,,,,,,,,,,,,,,,7.2,720,,,,,,,,needs_review,,unknown,"market=EU; basis=as-fed; source_tier=uploaded_pdf; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PA brochureA5-Dog&DogWILD EN rev01-2024.pdf; source_pages=24-25; official_url_required=true; Auto-extracted from Dog & Dog Wild brochure PDF; verify against official source or label before import.; intro_excerpt=24 Dog & Dog - Wild Adult all breeds Regional Grassland is a food for adult dogs of all sizes, containing a wide variety of meat from the European prairies, such as Italian swi",dog-dog-dog-dog-wild-adult-all-breeds-regional-grassland-dog-dry-eu-pdf,
Dog & Dog,Dog & Dog Wild Adult All Breeds Regional Ocean,Dog & Dog Wild Adult All Breeds Regional Ocean,dog,dry,adult,all,,,dog;dry;grain_free;salmon;chicken;fish;cod;pea,"sea-caught bluefish dried (27%), peas (22%), freshly prepared salmon dried (12%), animal fat, pea starch, fresh meat of cod (5%), fresh meat of salmon (5%), hydrolysed animal proteins, broken chestnuts (2%), dried chicken protein, cod dried (1%), eggs, hibiscus flowers (0,192%), Rosa canina L. and Rosa pendulina L. flowers (0,024%), raspberries (0,008%), blackberries (0,008%), strawberries (0,008%).","[""sea-caught bluefish dried (27%)"", ""peas (22%)"", ""freshly prepared salmon dried (12%)"", ""animal fat"", ""pea starch"", ""fresh meat of cod (5%)"", ""fresh meat of salmon (5%)"", ""hydrolysed animal proteins"", ""broken chestnuts (2%)"", ""dried chicken protein"", ""cod dried (1%)"", ""eggs"", ""hibiscus flowers (0,192%)"", ""Rosa canina L. and Rosa pendulina L. flowers (0,024%)"", ""raspberries (0,008%)"", ""blackberries (0,008%)"", ""strawberries (0,008%)""]",sea-caught bluefish dried (27%);freshly prepared salmon dried (12%);fresh meat of cod (5%);fresh meat of salmon (5%);dried chicken protein;cod dried (1%),peas (22%);pea starch;broken chestnuts (2%),animal fat,,"NUTRITIONAL ADDITIVES: Vitamin A 7.200 I.U. Vitamin D3 720 I.U. Copper (II) sulphate pentahydrate (Copper) 24,76 (6,30) mg TECHNOLOGICAL ADDITIVES: ANTIOXIDANTS Tocopherol extracts from vegetable oils 176,00 mg SENSORY ADDITIVES: NATURAL SUBSTANCES BOTANICALLY DEFINED. Rosemary extract 0,8 mg",d og ’s weight Divide into d og ’s weight Divide into 2 meals 2 meals 5 kg 78 - 91 g 30 kg 301 - 348 g 10 kg 132 - 153 g 40 kg 373 - 432 g 15 kg 179 - 207 g 50 kg 441 - 511 g 20 kg 222 - 257 g 60 kg 505 - 585 g EEUURROOPPEEAANN RREEGGIIOONNAALL OORRIIGGIINN,,,39.5,18,1.8,8.6,,,,,,,,,,,,,,,7.2,720,,,,,,,,needs_review,,unknown,"market=EU; basis=as-fed; source_tier=uploaded_pdf; source_document=C:/Users/NIOstb/Desktop/photo_foods_nutritail/PA brochureA5-Dog&DogWILD EN rev01-2024.pdf; source_pages=26-27; official_url_required=true; Auto-extracted from Dog & Dog Wild brochure PDF; verify against official source or label before import.; intro_excerpt=26 Dog & Dog - Wild Adult all breeds Regional Ocean is a food for adult dogs of all sizes, containing a wide range of wild fish caught in open sea, such as bluefish, and cod, as w",dog-dog-dog-dog-wild-adult-all-breeds-regional-ocean-dog-dry-eu-pdf,
